iter	Passed	Remaining
451	1080	1309
452	1087	1313
453	1089	1310
454	1091	1307
455	1093	1304
456	1104	1311
457	1105	1308
458	1107	1305
459	1109	1302
460	1112	1300
461	1116	1299
462	1118	1297
463	1120	1293
464	1121	1290
465	1124	1289
466	1127	1287
467	1129	1284
468	1132	1282
469	1141	1287
470	1144	1285
471	1147	1283
472	1149	1280
473	1156	1282
474	1159	1281
475	1164	1281
476	1165	1278
477	1170	1277
478	1174	1277
479	1175	1273
480	1176	1269
481	1178	1266
482	1179	1262
483	1180	1258
484	1186	1260
485	1187	1256
486	1189	1252
487	1190	1248
488	1191	1244
489	1192	1240
490	1193	1237
491	1194	1233
492	1195	1229
493	1199	1228
494	1201	1226
495	1203	1222
496	1204	1219
497	1205	1215
498	1206	1211
499	1209	1209
500	1210	1205
501	1211	1201
502	1215	1201
503	1216	1197
504	1218	1194
505	1219	1190
506	1220	1187
507	1221	1183
508	1222	1179
509	1223	1175
510	1229	1176
511	1231	1173
512	1232	1170
513	1234	1167
514	1235	1163
515	1236	1159
516	1237	1156
517	1239	1153
518	1244	1153
519	1246	1150
520	1247	1147
521	1249	1144
522	1250	1140
523	1252	1137
524	1253	1134
525	1256	1132
526	1258	1129
527	1259	1125
528	1260	1122
529	1261	1118
530	1262	1115
531	1264	1112
532	1265	1108
533	1266	1105
534	1268	1102
535	1269	1098
536	1272	1096
537	1273	1093
538	1274	1090
539	1276	1087
540	1277	1083
541	1278	1080
542	1279	1076
543	1280	1073
544	1282	1070
545	1284	1068
546	1286	1065
547	1287	1062
548	1288	1058
549	1290	1055
550	1291	1052
551	1293	1049
552	1294	1046
553	1295	1042
554	1296	1039
555	1299	1037
556	1301	1034
557	1302	1031
558	1303	1028
559	1305	1025
560	1306	1022
561	1307	1019
562	1308	1015
563	1309	1012
564	1311	1009
565	1312	1006
566	1316	1005
567	1318	1002
568	1319	999
569	1321	996
570	1322	993
571	1323	990
572	1325	987
573	1326	984
574	1327	981
575	1329	978
576	1331	976
577	1333	973
578	1334	970
579	1336	967
580	1339	965
581	1340	962
582	1341	959
583	1344	957
584	1346	954
585	1347	951
586	1348	948
587	1349	945
588	1350	942
589	1352	939
590	1353	936
591	1354	933
592	1355	930
593	1357	927
594	1360	926
595	1362	923
596	1363	920
597	1364	917
598	1365	914
599	1366	911
600	1367	908
601	1369	905
602	1370	902
603	1371	899
604	1373	896
605	1375	894
606	1376	891
607	1378	888
608	1379	885
609	1380	882
610	1381	879
611	1383	876
612	1384	873
613	1385	870
614	1386	868
615	1389	866
616	1390	863
617	1392	860
618	1393	857
619	1394	854
620	1396	852
621	1397	849
622	1398	846
623	1399	843
624	1401	840
625	1403	838
626	1405	836
627	1410	835
628	1411	832
629	1413	830
630	1420	830
631	1423	828
632	1425	826
633	1426	823
634	1428	821
635	1429	818
636	1430	815
637	1431	812
638	1433	809
639	1437	808
640	1439	806
641	1440	803
642	1441	800
643	1442	797
644	1443	794
645	1445	791
646	1447	789
647	1451	788
648	1454	786
649	1456	784
650	1458	781
651	1459	779
652	1461	776
653	1462	773
654	1468	773
655	1469	770
656	1471	767
657	1472	765
658	1474	763
659	1476	760
660	1479	758
661	1482	757
662	1485	755
663	1486	752
664	1488	749
665	1489	747
666	1491	744
667	1496	743
668	1498	741
669	1499	738
670	1500	735
671	1502	733
672	1504	730
673	1510	730
674	1512	728
675	1514	725
676	1515	723
677	1523	723
678	1526	721
679	1527	719
680	1529	716
681	1530	713
682	1533	711
683	1539	711
684	1541	708
685	1542	706
686	1544	703
687	1545	700
688	1546	698
689	1547	695
690	1553	694
691	1556	692
692	1558	690
693	1559	687
694	1561	685
695	1562	682
696	1564	679
697	1571	679
698	1572	677
699	1573	674
700	1575	672
701	1577	669
702	1583	669
703	1587	667
704	1589	665
705	1590	662
706	1591	659
707	1593	657
708	1600	656
709	1601	654
710	1602	651
711	1604	649
712	1606	646
713	1608	644
714	1611	642
715	1613	639
716	1614	637
717	1615	634
718	1616	631
719	1618	629
720	1619	626
721	1620	623
722	1622	621
723	1626	620
724	1628	617
725	1629	614
726	1630	612
727	1631	609
728	1632	606
729	1633	604
730	1635	601
731	1637	599
732	1643	598
733	1644	595
734	1645	593
